Sentence,Sentiment,Length,Word_Count,Cleaned_Text,Final_Text,Label
"The GeoSolutions technology will leverage Benefon 's GPS solutions by providing Location Based Search Technology , a Communities Platform , location relevant multimedia content and a new and powerful commercial model .",positive,218,32,the geosolutions technology will leverage benefon s gps solutions by providing location based search technology  a communities platform  location relevant multimedia content and a new and powerful commercial model ,geosolutions technology leverage benefon gps solution providing location based search technology community platform location relevant multimedia content new powerful commercial model,2
"$ESI on lows, down $1.50 to $2.50 BK a real possibility",negative,55,11,esi on lows down  to  bk a real possibility,esi low bk real possibility,0
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,193,39,for the last quarter of   componenta s net sales doubled to eurm from eurm for the same period a year earlier  while it moved to a zero pretax profit from a pretax loss of eurm ,last quarter componenta net sale doubled eurm eurm period earlier moved zero pretax profit pretax loss eurm,2
"According to the Finnish-Russian Chamber of Commerce , all the major construction companies of Finland are operating in Russia .",neutral,128,20,according to the finnishrussian chamber of commerce  all the major construction companies of finland are operating in russia ,according finnishrussian chamber commerce major construction company finland operating russia,1
"The Swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in Finland .",neutral,135,23,the swedish buyout firm has sold its remaining  percent stake  almost eighteen months after taking the company public in finland ,swedish buyout firm sold remaining percent stake almost eighteen month taking public finland,1
$SPY wouldn't be surprised to see a green close,positive,47,9,spy wouldnt be surprised to see a green close,spy wouldnt surprised see green close,2
Shell's $70 Billion BG Deal Meets Shareholder Skepticism,negative,56,8,shells  billion bg deal meets shareholder skepticism,shell billion bg deal meet shareholder skepticism,0
"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .",negative,190,34,ssh communications security corp stock exchange release october    at  pm the company updates its full year outlook and estimates its results to remain at loss for the full year ,ssh communication security corp stock exchange release october pm update full outlook estimate result remain loss full,0
Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,positive,83,18,kone s net sales rose by some   yearonyear in the first nine months of  ,kone net sale rose yearonyear first nine month,2
"The Stockmann department store will have a total floor space of over 8,000 square metres and Stockmann 's investment in the project will have a price tag of about EUR 12 million .",neutral,179,33,the stockmann department store will have a total floor space of over  square metres and stockmann s investment in the project will have a price tag of about eur  million ,stockmann department store total floor space square metre stockmann investment project price tag eur million,1
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,positive,79,17,circulation revenue has increased by   in finland and   in sweden in  ,circulation revenue increased finland sweden,2
$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,negative,135,18,sap q disappoints as software licenses down real problem cloud growth trails msft orcl goog crm adbe ,sap q disappoints software license real problem cloud growth trail msft orcl goog crm adbe,0
"The subdivision made sales revenues last year of EUR 480.7 million EUR 414.9 million in 2008 , and operating profits of EUR 44.5 million EUR 7.4 million .",positive,154,28,the subdivision made sales revenues last year of eur  million eur  million in   and operating profits of eur  million eur  million ,subdivision made sale revenue last eur million eur million operating profit eur million eur million,2
Viking Line has canceled some services .,neutral,40,7,viking line has canceled some services ,viking line canceled service,1
"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 A total of 56,955 new shares of Ahlstrom Corporation have been subscribed with option rights under the company 's stock option programs I 2001 and II 2001 .",neutral,223,36,ahlstrom corporation stock exchange announcement  at  a total of  new shares of ahlstrom corporation have been subscribed with option rights under the company s stock option programs i  and ii  ,ahlstrom corporation stock exchange announcement total new share ahlstrom corporation subscribed option right stock option program ii,1
$FB gone green on day,positive,21,5,fb gone green on day,fb gone green day,2
$MSFT SQL Server revenue grew double-digit with SQL Server Premium revenue growing over 30% http://stks.co/ir2F,positive,111,15,msft sql server revenue grew doubledigit with sql server premium revenue growing over  ,msft sql server revenue grew doubledigit sql server premium revenue growing,2
"According to L+Ã±nnen Tehtaat 's CEO Matti Karppinen , the company aims to deliver fish products to its customers a day earlier than it currently does .",neutral,152,27,according to lã±nnen tehtaat s ceo matti karppinen  the company aims to deliver fish products to its customers a day earlier than it currently does ,according lã±nnen tehtaat ceo matti karppinen aim deliver fish product customer day earlier currently,1
The company 's share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS .,neutral,79,15,the company s share is quoted on nasdaq omx helsinki rautaruukki oyj  rtrks ,share quoted nasdaq omx helsinki rautaruukki oyj rtrks,1
Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd. .,neutral,54,11,elcoteq se is listed on the nasdaq omx helsinki ltd ,elcoteq se listed nasdaq omx helsinki ltd,1
Two of these contracts are for turntable anode vibrocompactors that will be delivered to Gansu Hualu Aluminum Co Ltd and another unnamed costumer .,neutral,147,24,two of these contracts are for turntable anode vibrocompactors that will be delivered to gansu hualu aluminum co ltd and another unnamed costumer ,two contract turntable anode vibrocompactors delivered gansu hualu aluminum co ltd another unnamed costumer,1
"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",positive,67,11,aviva friends life top forecasts ahead of  billion pound merger,aviva friend life top forecast ahead billion pound merger,2
"In stead of being based on a soft drink , as is usual , the Teho energy drink is made with fresh water .",neutral,104,24,in stead of being based on a soft drink  as is usual  the teho energy drink is made with fresh water ,stead based soft drink usual teho energy drink made fresh water,1
The company plans to increase the unit 's specialist staff to several dozen -- depending on the market situation during 2010 .,neutral,126,22,the company plans to increase the unit s specialist staff to several dozen  depending on the market situation during  ,plan increase unit specialist staff several dozen depending market situation,1
The company closed last year with a turnover of about four million euros .,neutral,74,14,the company closed last year with a turnover of about four million euros ,closed last turnover four million euro,1
Shire CEO steps up drive to get Baxalta board talking,positive,53,10,shire ceo steps up drive to get baxalta board talking,shire ceo step drive get baxalta board talking,2
Costco: A Premier Retail Dividend Play https://t.co/Fa5cnh2t0t $COST,positive,68,8,costco a premier retail dividend play  cost,costco premier retail dividend play cost,2
"The five-storey , eco-efficient building will have a gross floor area of about 15,000 sq m. It will also include apartments .",neutral,125,22,the fivestorey  ecoefficient building will have a gross floor area of about  sq m it will also include apartments ,fivestorey ecoefficient building gross floor area sq also include apartment,1
"The first installment of the Cinema Series concludes with a profile of Finnish inventor Olavi Linden , whose personal artistic journey and work at Fiskars has led to dozens of design awards .",neutral,191,33,the first installment of the cinema series concludes with a profile of finnish inventor olavi linden  whose personal artistic journey and work at fiskars has led to dozens of design awards ,first installment cinema series concludes profile finnish inventor olavi linden whose personal artistic journey work fiskars led dozen design award,1
All are welcome .,neutral,17,4,all are welcome ,welcome,1
"Stockmann and Swedish sector company AB Lindex entered into an agreement on September 30 , 2007 , whereby Stockmann , or a wholly-owned subsidiary of it , will make a public tender offer for all of Lindex 's issued shares .",positive,223,41,stockmann and swedish sector company ab lindex entered into an agreement on september     whereby stockmann  or a whollyowned subsidiary of it  will make a public tender offer for all of lindex s issued shares ,stockmann swedish sector ab lindex entered agreement september whereby stockmann whollyowned subsidiary make public tender offer lindex issued share,2
"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE , 16.9.2008 AT 13.32 Huhtamaki 's Capital Markets Day for institutional investors and analysts is held in Espoo , September 16 , 2008 starting at 13.30 pm Finnish time .",neutral,206,35,huhtamaki oyj stock exchange release   at  huhtamaki s capital markets day for institutional investors and analysts is held in espoo  september    starting at  pm finnish time ,huhtamaki oyj stock exchange release huhtamaki capital market day institutional investor analyst held espoo september starting pm finnish time,1
`` We are pleased to welcome Tapeks Noma into Cramo group .,positive,59,12, we are pleased to welcome tapeks noma into cramo group ,pleased welcome tapeks noma cramo group,2
- Profit before taxes was EUR 105.9 82.7 million .,neutral,50,10, profit before taxes was eur   million ,profit tax eur million,1
Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,positive,56,11,royal dutch shell to buy bg group for nearly  billion,royal dutch shell buy bg group nearly billion,2
"FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions .",neutral,121,21,financialwire tm is not a press release service  and receives no compensation for its news  opinions or distributions ,financialwire tm press release service receives compensation news opinion distribution,1
ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB .,neutral,153,31,assa abloy kaupthing bank gave a  neutral  recommendation and a share price target of  crowns     euro on swedish lock maker assa abloy ab ,assa abloy kaupthing bank gave neutral recommendation share price target crown euro swedish lock maker assa abloy ab,1
"The item included restructuring costs of EUR1 .6 m , while a year earlier they were EUR13 .1 m. Diluted EPS stood at EUR0 .3 versus a loss per share of EUR 0.1 .",positive,161,34,the item included restructuring costs of eur  m  while a year earlier they were eur  m diluted eps stood at eur  versus a loss per share of eur  ,item included restructuring cost eur earlier eur diluted eps stood eur versus loss per share eur,2
In 2005 the bank posted a net profit of Lt 8.2 mn .,neutral,51,13,in  the bank posted a net profit of lt  mn ,bank posted net profit lt mn,1
$AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.,negative,82,16,aapl afternoon selloff as usual will be brutal get ready to lose a ton of money,aapl afternoon selloff usual brutal get ready lose ton money,0
$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,negative,111,21,tsla recalling pretty much every single model x  got to short that even at work you jump in money trade,tsla recalling pretty much every single model x got short even work jump money trade,0
"Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .",negative,180,30,dolce  gabbana has asked the european union to declare marimekko corporation s  unikko  floral pattern trademark invalid  in a continuing dispute between the two companies ,dolce gabbana asked european union declare marimekko corporation unikko floral pattern trademark invalid continuing dispute two company,0
InterContinental Hotels first-quarter global room revenue lags estimates,negative,72,8,intercontinental hotels firstquarter global room revenue lags estimates,intercontinental hotel firstquarter global room revenue lag estimate,0
"According to Finnish pension insurance company Varma , Varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in Finland .",positive,200,32,according to finnish pension insurance company varma  varma was the recipient of over two thirds of the revenue of the earningsrelated pension cover that was under competitive tendering in finland ,according finnish pension insurance varma varma recipient two third revenue earningsrelated pension cover competitive tendering finland,2
"A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .",positive,132,27,a portion    million  will be recorded as part of its winnings in a prior patent dispute with finnish phone maker nokia oyj ,portion million recorded part winning prior patent dispute finnish phone maker nokia oyj,2
"L&G still paying price for dividend cut during crisis, chief says",negative,65,11,lg still paying price for dividend cut during crisis chief says,lg still paying price dividend cut crisis chief say,0
The volume of investments in the two phases of the project is estimated at USD 300mn ( EUR 215.03 mn ) .,neutral,104,22,the volume of investments in the two phases of the project is estimated at usd mn  eur  mn  ,volume investment two phase project estimated usd mn eur mn,1
"Russia accounted for 9 % of the Lagardere magazine division 's revenue , or EUR 114.40 mn ( USD 148.11 mn ) in 2009 , the USA - for 18 % .",neutral,138,32,russia accounted for   of the lagardere magazine division s revenue  or eur  mn  usd  mn  in   the usa  for   ,russia accounted lagardere magazine division revenue eur mn usd mn usa,1
The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,positive,159,29,the company also estimates the already carried out investments to lead to an increase in its net sales for  from  when they reached eur  million ,also estimate already carried investment lead increase net sale reached eur million,2
Profit of the accounting period was EUR 0.3 mn .,neutral,48,10,profit of the accounting period was eur  mn ,profit accounting period eur mn,1
